Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Targeted layer	Cre	Number of genes detected	RNA family	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons
33	20180104_sample_6	20180104_slice_6	2018-01-04	sample 6	mouse_UALZV	2017-10-27	69	5	PV-	9892	PT	L5 PT_4	0.52	L5 PT_4 (52.1%), L5 PT_3 (25.1%), L5 PT_2 (22.1%)	L5 PT VISp Lgr5 (50.0%), L5 PT ALM Npsr1 (43.0%), L5 PT VISp C1ql2 Ptgfr (7.0%)	2195	728.36	Fede	10	647.2	234.4	473.7	1307.412	y	
34	20180105_sample_4	20180105_slice_4	2018-01-05	sample 4	mouse_LYQJP	2017-10-27	70	5	PV-	10266	IT	L5 IT_1	0.6	L5 IT_1 (60.3%), L5 IT_3 (18.6%), L5 IT_2 (16.0%)	L5 IT VISp Col6a1 Fezf2 (26.0%), L5 IT VISp Col27a1 (25.0%), L5 IT ALM Cbln4 Fezf2 (19.0%)	1579	259.84	Fede	10	741.8	271.1	519.5	1433.82	y	
35	20180105_sample_5	20180105_slice_5	2018-01-05	sample 5	mouse_LYQJP	2017-10-27	70	5	PV-	9339	IT	L5 IT_1	0.8	L5 IT_1 (80.3%), L4/5 IT_2 (7.9%), L5 IT_3 (4.1%)	L5 IT VISp Batf3 (52.0%), L4 IT VISp Rspo1 (27.0%), L5 IT ALM Lypd1 Gpr88 (10.0%)	1513	141.77	Fede	10	528.4	199.5	515.8	1423.608	y	
36	20180105_sample_6	20180105_slice_6	2018-01-05	sample 6	mouse_LYQJP	2017-10-27	70	5	PV-	8468	IT	L5 IT_1	0.42	L5 IT_1 (42.1%), L5 IT_2 (36.6%), L5 IT_3 (9.1%)	L5 IT VISp Col27a1 (40.0%), L5 IT ALM Gkn1 Pcdh19 (33.0%), L6 IT ALM Tgfb1 (15.0%)	1622	168.05	Fede	10	638.3	234.5	462.3	1275.948	y	
37	20180108_sample_1	20180108_slice_1	2018-01-08	sample 1	mouse_OOSLW	2017-11-05	64	5	PV-	10225	IT	L5 IT_1	1	L5 IT_1 (99.6%)	L5 IT ALM Tmem163 Arhgap25 (56.0%), L5 IT ALM Cpa6 Gpr88 (23.0%), L5 IT VISp Batf3 (19.0%)	2474	418.17	Fede	10	635.6	228.2	566.6	1563.816		
38	20180108_sample_2	20180108_slice_2	2018-01-08	sample 2	mouse_OOSLW	2017-11-05	64	5	PV-	3137	low quality					1503	74.09	Fede	10	802.9	285.5	587.5	1621.5		
39	20180108_sample_3	20180108_slice_3	2018-01-08	sample 3	mouse_OOSLW	2017-11-05	64	5	PV-	10397	IT	L5 IT_1	0.82	L5 IT_1 (82.0%), L5 IT_2 (9.6%), L5 PT_1 (4.9%)	L5 IT ALM Gkn1 Pcdh19 (51.0%), L5 IT ALM Tmem163 Arhgap25 (31.0%), L5 IT ALM Cpa6 Gpr88 (10.0%)	2378	416.79	Fede	10	724.7	248.8	560.5	1546.98		
40	20180108_sample_4	20180108_slice_4	2018-01-08	sample 4	mouse_OOSLW	2017-11-05	64	5	PV-	4622	PT	L5 PT_4	0.53	L5 PT_4 (53.4%), L5 PT_3 (10.0%), L6 CT Pou3f2 (8.6%)	L5 PT VISp Lgr5 (42.0%), L5 PT VISp C1ql2 Ptgfr (33.0%), L5 PT ALM Npsr1 (12.0%)	1527	137.09	Fede	10	738.1	269.9	528.1	1457.556	y	
41	20180108_sample_5	20180108_slice_5	2018-01-08	sample 5	mouse_OOSLW	2017-11-05	64	5	PV-	11927	PT	L5 PT_2	0.5	L5 PT_2 (50.4%), L5 PT_3 (30.7%), L5 PT_4 (18.7%)	L5 PT ALM Hpgd (63.0%), L5 PT ALM Npsr1 (27.0%), L5 PT VISp Lgr5 (9.0%)	2412	412.34	Fede	10	632.5	214.5	496.3	1369.788	y	
42	20180108_sample_7	20180108_slice_7	2018-01-08	sample 7	mouse_OOSLW	2017-11-05	64	5	PV-	10123	IT	L5 IT_1	0.97	L5 IT_1 (97.1%)	L5 IT VISp Hsd11b1 Endou (33.0%), L5 IT VISp Whrn Tox2 (25.0%), L5 IT ALM Tmem163 Arhgap25 (19.0%)	2503	414.54	Fede	10	987.7	359	596	1644.96		
43	20180108_sample_8	20180108_slice_8	2018-01-08	sample 8	mouse_OOSLW	2017-11-05	64	5	PV-	9002	PT	L5 PT_1	0.97	L5 PT_1 (96.7%)	L5 PT ALM Slco2a1 (97.0%)	2560	405.42	Fede	10	923.4	337	580.1	1601.076		
44	20180108_sample_9	20180108_slice_9	2018-01-08	sample 9	mouse_OOSLW	2017-11-05	64	5	PV-	10034	IT	L5 IT_1	0.9	L5 IT_1 (89.7%), L5 IT_2 (6.0%)	L5 IT ALM Cpa6 Gpr88 (79.0%), L5 IT ALM Gkn1 Pcdh19 (19.0%)	2151	307.11	Fede	10	798.2	293.3	537.4	1483.224	y	
45	20180108_sample_10	20180108_slice_10	2018-01-08	sample 10	mouse_OOSLW	2017-11-05	64	5	PV-	10185	PT	L5 PT_1	0.96	L5 PT_1 (96.4%)	L5 PT VISp Krt80 (100.0%)	2240	344.79	Fede	10	703.3	260.8	556.8	1536.768		
46	20180109_sample_1	20180109_slice_1	2018-01-09	sample 1	mouse_TYCES	2017-11-05	65	5	PV-	3966	IT	L5 IT_1	0.62	L5 IT_1 (61.9%), L5 IT_3 (14.4%), L6 IT_1 (11.3%)	L5 IT ALM Cpa6 Gpr88 (39.0%), L5 IT VISp Col27a1 (30.0%), L5 IT ALM Cbln4 Fezf2 (20.0%)	1770	159.33	Fede	11	816.4	295.7	566.8	1564.368		
47	20180109_sample_2	20180109_slice_2	2018-01-09	sample 2	mouse_TYCES	2017-11-05	65	5	PV-	7291	IT	L5 IT_3	0.49	L5 IT_3 (48.6%), L5 IT_1 (41.3%), L5 IT_2 (9.7%)	L5 IT VISp Col27a1 (57.0%), L5 IT ALM Cbln4 Fezf2 (15.0%), L5 IT ALM Cpa6 Gpr88 (11.0%)	1984	593.53	Fede	10	817.4	298.6	621.1	1714.236		
48	20180109_sample_5	20180109_slice_5	2018-01-09	sample 5	mouse_TYCES	2017-11-05	65	5	PV-	8373	IT	L5 IT_1	0.68	L5 IT_1 (68.4%), L5 IT_2 (23.0%), L5 IT_3 (6.9%)	L5 IT ALM Cpa6 Gpr88 (71.0%), L5 IT VISp Col6a1 Fezf2 (13.0%), L5 IT VISp Col27a1 (11.0%)	1959	202.29	Fede	10	873.5	316.2	538.5	1486.26		
49	20180110_sample_1	20180110_slice_1	2018-01-10	sample 1	mouse_GUIGR	2017-11-05	66	5	PV-	8868	IT	L5 IT_1	0.81	L5 IT_1 (81.4%), L5 IT_3 (8.6%), L5 IT_2 (4.3%)	L5 IT ALM Cbln4 Fezf2 (61.0%), L5 IT VISp Col27a1 (26.0%), L5 IT ALM Cpa6 Gpr88 (6.0%)	2129	257.48	Fede	13	947.5	357	605	1669.8		
50	20180110_sample_2	20180110_slice_2	2018-01-10	sample 2	mouse_GUIGR	2017-11-05	66	5	PV-	9310	IT	L5 IT_2	0.57	L5 IT_2 (56.7%), L5 IT_1 (34.4%), L5 IT_4 (2.7%)	L5 IT ALM Gkn1 Pcdh19 (78.0%), L5 IT ALM Cpa6 Gpr88 (18.0%)	1764	504.54	Fede	14	902.7	333	590.1	1628.676		
51	20180110_sample_3	20180110_slice_3	2018-01-10	sample 3	mouse_GUIGR	2017-11-05	66	5	PV-	12193	IT	L5 IT_1	1	L5 IT_1 (99.6%)	L5 IT ALM Cpa6 Gpr88 (99.0%)	2091	961.24	Fede	10	854	311.1	646.6	1784.616		
52	20180110_sample_4	20180110_slice_4	2018-01-10	sample 4	mouse_GUIGR	2017-11-05	66	5	PV-	7972	IT	L5 IT_1	0.67	L5 IT_1 (66.6%), L5 IT_2 (20.6%), L6 IT_2 (4.0%)	L5 IT ALM Cpa6 Gpr88 (53.0%), L5 IT VISp Col6a1 Fezf2 (21.0%), L5 IT VISp Col27a1 (15.0%)	1966	157.83	Fede	11	816.8	299	598	1650.48		
53	20180110_sample_5	20180110_slice_5	2018-01-10	sample 5 	mouse_GUIGR	2017-11-05	66	5	PV-	8739	IT	L5 IT_2	0.41	L5 IT_2 (41.3%), L5 IT_1 (35.6%), L5 IT_3 (11.7%)	L5 IT VISp Col6a1 Fezf2 (69.0%), L5 IT VISp Col27a1 (16.0%), L6 IT ALM Tgfb1 (10.0%)	1810	236.68	Fede	13	767.7	279.4	538.5	1486.26	y	
54	20180110_sample_7	20180110_slice_7	2018-01-10	sample 7	mouse_GUIGR	2017-11-05	66	5	PV-	9011	IT	L5 IT_1	0.75	L5 IT_1 (74.9%), L5 IT_2 (21.0%)	L5 IT ALM Gkn1 Pcdh19 (89.0%), L5 IT ALM Cpa6 Gpr88 (11.0%)	2113	283.75	Fede	10	969	355.5	578.4	1596.384		
55	20180110_sample_8	20180110_slice_8	2018-01-10	sample 8	mouse_GUIGR	2017-11-05	66	5	PV-	10196	PT	L5 PT_4	0.95	L5 PT_4 (95.1%)	L5 PT ALM Npsr1 (100.0%)	2022	325.01	Fede	11	664.6	246.4	507.8	1401.528	y	
56	20180111_sample_5	20180111_slice_5	2018-01-11	sample 5	mouse_DYNRZ	2017-11-05	67	5	PV-	4486	IT	L5 IT_3	0.69	L5 IT_3 (69.3%), L5 IT_1 (11.7%), L5 IT_4 (11.6%)	L5 IT VISp Col27a1 (64.0%), L4 IT VISp Rspo1 (31.0%)	2328	102.42	Fede	13	795.5	294	539	1487.64	y	
57	20180115_sample_2	20180115_slice_2	2018-01-15	sample 2	mouse_IZUBT	2017-11-12	64	5	PV-	14044	IT	L5 IT_1	0.55	L5 IT_1 (55.1%), L4/5 IT_2 (40.3%)	L5 IT VISp Hsd11b1 Endou (55.0%), L5 IT ALM Tmem163 Arhgap25 (27.0%), L5 IT ALM Lypd1 Gpr88 (16.0%)	1976	616.31	Fede	18	665.2	242.2	525	1449	y	
58	20180115_sample_5	20180115_slice_5	2018-01-15	sample 5	mouse_IZUBT	2017-11-12	64	5	PV-	12146	IT	L5 IT_1	0.98	L5 IT_1 (98.4%)	L5 IT ALM Cpa6 Gpr88 (51.0%), L5 IT ALM Lypd1 Gpr88 (23.0%), L5 IT ALM Cbln4 Fezf2 (13.0%)	2254	371.36	Fede	10	825.7	298	508.1	1402.356	y	
59	20180115_sample_6	20180115_slice_6	2018-01-15	sample 6	mouse_IZUBT	2017-11-12	64	5	PV-	490	low quality					2252	218.86	Fede	15	615.6	221.9	511.6	1412.016	y	
60	20180115_sample_7	20180115_slice_7	2018-01-15	sample 7	mouse_IZUBT	2017-11-12	64	5	PV-	14186	IT	L5 IT_1	0.63	L5 IT_1 (63.3%), L5 IT_2 (26.6%), L5 IT_3 (8.1%)	L5 IT ALM Gkn1 Pcdh19 (91.0%), L5 IT ALM Cpa6 Gpr88 (9.0%)	2048	974.53	Fede	10	677.9	254.4	506.5	1397.94	y	
61	20180115_sample_8	20180115_slice_8	2018-01-15	sample 8	mouse_IZUBT	2017-11-12	64	5	PV-	9156	IT	L5 IT_1	0.9	L5 IT_1 (90.3%), L4/5 IT_2 (8.1%)	L5 IT ALM Tmem163 Arhgap25 (88.0%), L5 IT VISp Batf3 (5.0%), L5 IT ALM Lypd1 Gpr88 (2.0%)	2029	506.51	Fede	10	568.5	209.8	538.4	1485.984	y	
62	20180115_sample_9	20180115_slice_9	2018-01-15	sample 9	mouse_IZUBT	2017-11-12	64	5	PV-	7542	IT	L5 IT_1	0.61	L5 IT_1 (61.0%), L5 IT_2 (24.3%), L5 IT_3 (10.0%)	L4 IT VISp Rspo1 (34.0%), L5 IT ALM Cpa6 Gpr88 (34.0%), L5 IT VISp Col27a1 (18.0%)	2019	202.51	Fede	10	664	244.6	526.1	1452.036	y	
63	20180118_sample_1	20180118_slice_1	2018-01-18	sample 1	mouse_OGLHO	2017-11-12	67	5	PV-	7133	IT	L5 IT_2	0.58	L5 IT_2 (58.3%), L5 IT_1 (34.7%), L5 IT_4 (3.9%)	L4 IT VISp Rspo1 (40.0%), L5 IT ALM Cpa6 Gpr88 (19.0%), L5 IT ALM Gkn1 Pcdh19 (11.0%)	2023	451.09	Fede	15	668.6	245.6	548.6	1514.136	y	
64	20180118_sample_2	20180118_slice_2	2018-01-18	sample 2	mouse_OGLHO	2017-11-12	67	5	PV-	8661	IT	L5 IT_1	0.94	L5 IT_1 (93.6%), L5 IT_2 (3.6%)	L5 IT ALM Cpa6 Gpr88 (36.0%), L5 IT VISp Batf3 (34.0%), L4 IT VISp Rspo1 (11.0%)	1582	167.39	Fede	10	592	212.2	538.1	1485.156	y	
65	20180118_sample_4	20180118_slice_4	2018-01-18	sample 4	mouse_OGLHO	2017-11-12	67	5	PV-	6693	IT	L5 IT_1	0.8	L5 IT_1 (80.1%), L5 IT_2 (17.4%)	L5 IT ALM Lypd1 Gpr88 (35.0%), L5 IT VISp Batf3 (31.0%), L5 IT ALM Cpa6 Gpr88 (30.0%)	1747	467.97	Fede	12	601.2	215.8	600.2	1656.552	y	
66	20180118_sample_6	20180118_slice_6	2018-01-18	sample 6	mouse_OGLHO	2017-11-12	67	5	PV-	11277	IT	L5 IT_1	0.92	L5 IT_1 (92.0%), L5 IT_2 (7.1%)	L5 IT ALM Cpa6 Gpr88 (54.0%), L5 IT ALM Tmem163 Arhgap25 (23.0%), L5 IT VISp Hsd11b1 Endou (11.0%)	2196	267.25	Fede	10	623.1	224.2	557.4	1538.424	y	
67	20180118_sample_7	20180118_slice_7	2018-01-18	sample 7	mouse_OGLHO	2017-11-12	67	5	PV-	13308	PT	L5 PT_1	1	L5 PT_1 (99.7%)	L5 PT ALM Slco2a1 (82.0%), L5 PT VISp Krt80 (18.0%)	1734	423.12	Fede	10	949	359.8	626.9	1730.244	y	
68	20180118_sample_10	20180118_slice_10	2018-01-18	sample 10	mouse_OGLHO	2017-11-12	67	5	PV-	12635	PT	L5 PT_4	0.9	L5 PT_4 (90.3%), L5 PT_2 (9.0%)	L5 PT ALM Npsr1 (100.0%)	1775	174.93	Fede	15	730.2	238.3	576.7	1591.692	y	
69	20180123_sample_1	20180123_slice_1	2018-01-23	sample 1	mouse_CNQDR	2017-11-26	58	5	PV-	11559	PT	L5 PT_1	0.99	L5 PT_1 (98.9%)	L5 PT ALM Slco2a1 (100.0%)	2470	240.23	Fede	12	952	347.9	633.3	1747.908		
70	20180123_sample_3	20180123_slice_3	2018-01-23	sample 3	mouse_CNQDR	2017-11-26	58	5	PV-	9795	PT	L5 PT_1	0.94	L5 PT_1 (94.3%), L5 PT_4 (2.7%)	L5 PT VISp Krt80 (72.0%), L5 PT ALM Slco2a1 (28.0%)	2174	217.62	Fede	10	818.9	299.8	610.5	1684.98		
71	20180123_sample_5	20180123_slice_5	2018-01-23	sample 5	mouse_CNQDR	2017-11-26	58	5	PV-	9138	PT	L5 PT_1	0.7	L5 PT_1 (70.3%), L5 PT_4 (16.0%), L5 PT_3 (10.9%)	L5 PT VISp Krt80 (90.0%), L5 PT VISp Lgr5 (9.0%)	2181	231.55	Fede	10	934.1	337.6	613.5	1693.26	y	
72	20180123_sample_6	20180123_slice_6	2018-01-23	sample 6	mouse_CNQDR	2017-11-26	58	5	PV-	12535	PT	L5 PT_1	0.95	L5 PT_1 (95.4%)	L5 PT ALM Slco2a1 (90.0%), L5 PT VISp Krt80 (10.0%)	2008	530.44	Fede	10	706.6	237.4	548.8	1514.688	y	
